CC_Category,account,account_mask,amount,card_mapped,category,date,excluded,name,note,override_applied,override_card,override_rate,override_reason,parent_category,recurring,status,tags,type,used_rate,effective_card,points_earned,best_cards,best_rate,optimal_points,missed_points,used_best_card
Subscriptions,Freedom Unlimited,1093.0,87.97,Chase Freedom Unlimited,Subscriptions,2025-10-29,False,Youtube Tv,,True,Chase Freedom Unlimited,1.5,"Matched override: openai, chatgpt, adobe, youtube.tv, youtube premium, youtube tv, photolounge",Standard of Living,Youtube Tv,pending,,regular,1.5,Chase Freedom Unlimited,131.95,Chase Freedom Unlimited,1.5,131.95,0.0,True
Gas,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,27.89,Citi AAdvantage Platinum Select,Car/Gas,2025-10-29,False,Royal Farms 132 Lansdale Usa,,False,,,,Standard of Living,,pending,,regular,2.0,Citi AAdvantage Platinum Select,55.78,Citi AAdvantage Platinum Select,2.0,55.78,0.0,True
Other,Freedom Unlimited,1093.0,10.59,Chase Freedom Unlimited,Shops,2025-10-28,False,Steam Games,,False,,,,Guilt Free Spending,,pending,,regular,1.5,Chase Freedom Unlimited,15.88,Chase Freedom Unlimited,1.5,15.88,0.0,True
Dining,Chase Sapphire,6143.0,5.4,Chase Sapphire Preferred,Restaurants & Bars,2025-10-27,False,Vibrant Coffee Roaste,,True,Chase Sapphire Preferred,3.0,"Matched override: isgro pastries, paulie gee, osteria, four seasons, vibrant coffee",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,16.2,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,16.2,0.0,True
Dining,Chase Sapphire,6143.0,15.45,Chase Sapphire Preferred,Gifts,2025-10-27,False,Isgro Pastries,,True,Chase Sapphire Preferred,3.0,"Matched override: isgro pastries, paulie gee, osteria, four seasons, vibrant coffee",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,46.35,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,46.35,0.0,True
Groceries,Freedom Unlimited,1093.0,33.44,Chase Freedom Unlimited,Groceries,2025-10-26,False,Acme,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,50.16,Chase Freedom Unlimited,1.5,50.16,0.0,True
Other,Freedom Unlimited,1093.0,31.65,Chase Freedom Unlimited,Shops,2025-10-26,False,Amazon Mktpl*n47ga88c0,,True,Chase Freedom Unlimited,1.5,"Matched override: etsy, amazon, 1-800-flowers, offer:etsy, amazon mktpl",Guilt Free Spending,,posted,,regular,1.5,Chase Freedom Unlimited,47.47,Chase Freedom Unlimited,1.5,47.47,0.0,True
Dining,Chase Sapphire,6143.0,4.75,Chase Sapphire Preferred,Restaurants & Bars,2025-10-26,False,Paulie Gee's Soul Cit,,True,Chase Sapphire Preferred,3.0,"Matched override: isgro pastries, paulie gee, osteria, four seasons, vibrant coffee",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,14.25,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,14.25,0.0,True
Dining,Chase Sapphire,6143.0,8.5,Chase Sapphire Preferred,Restaurants & Bars,2025-10-26,False,Paulie Gee's Soul Cit,,True,Chase Sapphire Preferred,3.0,"Matched override: isgro pastries, paulie gee, osteria, four seasons, vibrant coffee",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,25.5,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,25.5,0.0,True
Subscriptions,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,12.71,Citi AAdvantage Platinum Select,Subscriptions,2025-10-26,False,Adobe,,True,Chase Freedom Unlimited,1.5,"Matched override: openai, chatgpt, adobe, youtube.tv, youtube premium, youtube tv, photolounge",Standard of Living,Adobe San Jose Usa,posted,,regular,1.0,Citi AAdvantage Platinum Select,12.71,Chase Freedom Unlimited,1.5,19.07,6.359999999999999,False
Other,Freedom Unlimited,1093.0,51.92,Chase Freedom Unlimited,Gifts,2025-10-25,False,Acme,,False,,,,Guilt Free Spending,,posted,,regular,1.5,Chase Freedom Unlimited,77.88,Chase Freedom Unlimited,1.5,77.88,0.0,True
Dining,Chase Sapphire,6143.0,8.21,Chase Sapphire Preferred,Restaurants & Bars,2025-10-25,False,South Philly - Bart's,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,24.63,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,24.63,0.0,True
Dining,Chase Sapphire,6143.0,11.73,Chase Sapphire Preferred,Restaurants & Bars,2025-10-25,False,Wonder,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,35.19,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,35.19,0.0,True
Groceries,Freedom Unlimited,1093.0,5.75,Chase Freedom Unlimited,Groceries,2025-10-24,False,Iovine Brothers Pro,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,8.62,Chase Freedom Unlimited,1.5,8.62,0.0,True
Other,Chase Sapphire,6143.0,20.81,Chase Sapphire Preferred,Groceries,2025-10-22,False,Amazon Fresh,,True,Chase Freedom Unlimited,1.5,"Matched override: etsy, amazon, 1-800-flowers, offer:etsy, amazon mktpl",Standard of Living,,posted,,regular,1.0,Chase Sapphire Preferred,20.81,Chase Freedom Unlimited,1.5,31.21,10.400000000000002,False
Dining,Freedom Unlimited,1093.0,5.8,Chase Freedom Unlimited,Restaurants & Bars,2025-10-20,False,Merck Wp 53 Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Freedom Unlimited,17.4,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,17.4,0.0,True
Gas,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,35.02,Citi AAdvantage Platinum Select,Car/Gas,2025-10-20,False,Marathon,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: marathon, wawa, sunoco, shell, exxon, bp, costco gas",Standard of Living,,posted,,regular,2.0,Citi AAdvantage Platinum Select,70.04,Citi AAdvantage Platinum Select,2.0,70.04,0.0,True
Groceries,Freedom Unlimited,1093.0,24.54,Chase Freedom Unlimited,Groceries,2025-10-19,False,Whole Foods,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,36.81,Chase Freedom Unlimited,1.5,36.81,0.0,True
Streaming,Chase Sapphire,6143.0,2.99,Chase Sapphire Preferred,Subscriptions,2025-10-19,False,Apple.com-bill,,True,Chase Sapphire Preferred,3.0,"Matched override: openai, chatgpt, netflix, spotify, apple.com-bill",Standard of Living,Apple Storage,posted,,regular,3.0,Chase Sapphire Preferred,8.97,Chase Sapphire Preferred,3.0,8.97,0.0,True
Dining,Chase Sapphire,6143.0,66.1,Chase Sapphire Preferred,Restaurants & Bars,2025-10-18,False,Four Seasons Sky High,,True,Chase Sapphire Preferred,3.0,"Matched override: isgro pastries, paulie gee, osteria, four seasons, vibrant coffee",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,198.3,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,198.3,0.0,True
Dining,Chase Sapphire,6143.0,21.59,Chase Sapphire Preferred,Restaurants & Bars,2025-10-18,False,Wine And Spirits,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,64.77,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,64.77,0.0,True
Dining,Chase Sapphire,6143.0,79.88,Chase Sapphire Preferred,Restaurants & Bars,2025-10-18,False,Osteria Ama Philly,,True,Chase Sapphire Preferred,3.0,"Matched override: isgro pastries, paulie gee, osteria, four seasons, vibrant coffee",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,239.64,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,239.64,0.0,True
Streaming,Freedom Unlimited,1093.0,21.2,Chase Freedom Unlimited,Subscriptions,2025-10-17,False,Openai *chatgpt Subscr,,True,Chase Sapphire Preferred,3.0,"Matched override: openai, chatgpt, netflix, spotify, apple.com-bill",Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,31.8,Chase Sapphire Preferred,3.0,63.6,31.8,False
Groceries,Freedom Unlimited,1093.0,27.98,Chase Freedom Unlimited,Groceries,2025-10-17,False,Whole Foods,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,41.97,Chase Freedom Unlimited,1.5,41.97,0.0,True
Drugstores,Freedom Flex,2429.0,36.2,Chase Freedom Flex,Gifts,2025-10-17,False,Cvs,,True,Chase Freedom Flex,3.0,"Matched override: cvs, walgreens, rite aid",Guilt Free Spending,,posted,,regular,3.0,Chase Freedom Flex,108.6,"Chase Freedom Unlimited, Chase Freedom Flex",3.0,108.6,0.0,True
Other,Chase Sapphire,6143.0,101.27,Chase Sapphire Preferred,Gifts,2025-10-16,False,"1-800-flowers.com,inc",,True,Chase Freedom Unlimited,1.5,"Matched override: etsy, amazon, 1-800-flowers, offer:etsy, amazon mktpl",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,101.27,Chase Freedom Unlimited,1.5,151.9,50.63000000000001,False
Other,Freedom Unlimited,1093.0,71.78,Chase Freedom Unlimited,Shops,2025-10-15,False,Steam Games,,False,,,,Guilt Free Spending,,posted,,regular,1.5,Chase Freedom Unlimited,107.67,Chase Freedom Unlimited,1.5,107.67,0.0,True
Dining,Chase Sapphire,6143.0,4.24,Chase Sapphire Preferred,Restaurants & Bars,2025-10-15,False,Merck Wp 75 Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,12.72,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,12.72,0.0,True
Dining,Chase Sapphire,6143.0,1.8,Chase Sapphire Preferred,Restaurants & Bars,2025-10-15,False,Merck Wp 75 Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,5.4,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,5.4,0.0,True
Gas,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,11.6,Citi AAdvantage Platinum Select,Restaurants & Bars,2025-10-15,False,Marathon,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: marathon, wawa, sunoco, shell, exxon, bp, costco gas",Guilt Free Spending,,posted,,regular,2.0,Citi AAdvantage Platinum Select,23.2,Citi AAdvantage Platinum Select,2.0,23.2,0.0,True
Groceries,Freedom Unlimited,1093.0,17.18,Chase Freedom Unlimited,Groceries,2025-10-13,False,Acme,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,25.77,Chase Freedom Unlimited,1.5,25.77,0.0,True
Groceries,Freedom Unlimited,1093.0,23.02,Chase Freedom Unlimited,Groceries,2025-10-12,False,Whole Foods,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,34.53,Chase Freedom Unlimited,1.5,34.53,0.0,True
Dining,Chase Sapphire,6143.0,165.56,Chase Sapphire Preferred,Restaurants & Bars,2025-10-12,False,Blondies,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,496.68,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,496.68,0.0,True
Other,Freedom Unlimited,1093.0,6.48,Chase Freedom Unlimited,Gifts,2025-10-11,False,Open House,,False,,,,Guilt Free Spending,,posted,,regular,1.5,Chase Freedom Unlimited,9.72,Chase Freedom Unlimited,1.5,9.72,0.0,True
Other,Freedom Unlimited,1093.0,8.43,Chase Freedom Unlimited,Gifts,2025-10-11,False,Weis Markets,,False,,,,Guilt Free Spending,,posted,,regular,1.5,Chase Freedom Unlimited,12.64,Chase Freedom Unlimited,1.5,12.64,0.0,True
Dining,Chase Sapphire,6143.0,6.67,Chase Sapphire Preferred,Restaurants & Bars,2025-10-11,False,Dairy Queen,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,20.01,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,20.01,0.0,True
Dining,Chase Sapphire,6143.0,22.72,Chase Sapphire Preferred,Restaurants & Bars,2025-10-11,False,Cafe Walnut,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,68.16,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,68.16,0.0,True
Travel,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,245.97,Citi AAdvantage Platinum Select,Travel & Vacation,2025-10-11,True,American,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: american, aa.com, americanair",,,posted,,regular,2.0,Citi AAdvantage Platinum Select,491.94,"Chase Sapphire Preferred, Citi AAdvantage Platinum Select",2.0,491.94,0.0,True
Gas,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,38.94,Citi AAdvantage Platinum Select,Car/Gas,2025-10-11,False,Lukoil,,False,,,,Standard of Living,,posted,,regular,2.0,Citi AAdvantage Platinum Select,77.88,Citi AAdvantage Platinum Select,2.0,77.88,0.0,True
Other,Chase Sapphire,6143.0,12.19,Chase Sapphire Preferred,Gifts,2025-10-10,False,"Etsy, Inc",,True,Chase Freedom Unlimited,1.5,"Matched override: etsy, amazon, 1-800-flowers, offer:etsy, amazon mktpl",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,12.19,Chase Freedom Unlimited,1.5,18.28,6.090000000000002,False
Other,Chase Sapphire,6143.0,21.68,Chase Sapphire Preferred,Gifts,2025-10-10,False,"Etsy, Inc",,True,Chase Freedom Unlimited,1.5,"Matched override: etsy, amazon, 1-800-flowers, offer:etsy, amazon mktpl",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,21.68,Chase Freedom Unlimited,1.5,32.52,10.840000000000003,False
Drugstores,Chase Sapphire,6143.0,5.9,Chase Sapphire Preferred,Home Improvement,2025-10-10,False,Cvs,,True,Chase Freedom Flex,3.0,"Matched override: cvs, walgreens, rite aid",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,5.9,"Chase Freedom Unlimited, Chase Freedom Flex",3.0,17.7,11.799999999999999,False
Other,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,45.77,Citi AAdvantage Platinum Select,Subscriptions,2025-10-10,False,Amazon.com,,True,Chase Freedom Unlimited,1.5,"Matched override: etsy, amazon, 1-800-flowers, offer:etsy, amazon mktpl",Standard of Living,Whey Protein,posted,,regular,1.0,Citi AAdvantage Platinum Select,45.77,Chase Freedom Unlimited,1.5,68.66,22.889999999999993,False
Other,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,148.3,Citi AAdvantage Platinum Select,Gifts,2025-10-10,False,Amazon Mktpl,,True,Chase Freedom Unlimited,1.5,"Matched override: etsy, amazon, 1-800-flowers, offer:etsy, amazon mktpl",Guilt Free Spending,,posted,,regular,1.0,Citi AAdvantage Platinum Select,148.3,Chase Freedom Unlimited,1.5,222.45,74.14999999999998,False
Dining,Chase Sapphire,6143.0,12.29,Chase Sapphire Preferred,Restaurants & Bars,2025-10-09,False,Honeygrow,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,36.87,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,36.87,0.0,True
Dining,Chase Sapphire,6143.0,1.38,Chase Sapphire Preferred,Restaurants & Bars,2025-10-09,False,Schmear It - 12th St,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,4.14,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,4.14,0.0,True
Gas,Freedom Unlimited,1093.0,0.85,Chase Freedom Unlimited,Car/Gas,2025-10-08,False,Pmusa 281018 Lower Mer,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,1.27,Citi AAdvantage Platinum Select,2.0,1.7,0.42999999999999994,False
Groceries,Freedom Unlimited,1093.0,17.57,Chase Freedom Unlimited,Groceries,2025-10-08,False,Acme,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,26.36,Chase Freedom Unlimited,1.5,26.36,0.0,True
Dining,Chase Sapphire,6143.0,8.6,Chase Sapphire Preferred,Restaurants & Bars,2025-10-07,False,Merck Wp 53 Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,25.8,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,25.8,0.0,True
Transit,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,2.9,Citi AAdvantage Platinum Select,Ubers/Septa,2025-10-06,False,Septa,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: septa, lyft, uber",Guilt Free Spending,,posted,,regular,1.0,Citi AAdvantage Platinum Select,2.9,Citi AAdvantage Platinum Select,2.0,5.8,2.9,True
Streaming,Freedom Flex,2429.0,8.47,Chase Freedom Flex,Subscriptions,2025-10-05,False,Netflix,,True,Chase Sapphire Preferred,3.0,"Matched override: openai, chatgpt, netflix, spotify, apple.com-bill",Standard of Living,Netflix,posted,,regular,1.0,Chase Freedom Flex,8.47,Chase Sapphire Preferred,3.0,25.41,16.939999999999998,False
Groceries,Freedom Unlimited,1093.0,73.36,Chase Freedom Unlimited,Groceries,2025-10-04,False,Trader Joe's,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,110.04,Chase Freedom Unlimited,1.5,110.04,0.0,True
Other,Freedom Unlimited,1093.0,84.5,Chase Freedom Unlimited,Rent/Utilities,2025-10-04,False,Pecoenergyb,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,126.75,Chase Freedom Unlimited,1.5,126.75,0.0,True
Other,Chase Sapphire,6143.0,-17.27,Chase Sapphire Preferred,Home Improvement,2025-10-04,False,Tenth Street Hardware,,True,Chase Freedom Unlimited,1.5,"Matched override: tenth street hardware, home depot, lowes, ace hardware",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,-17.27,Chase Freedom Unlimited,1.5,-25.9,0.0,False
Other,Chase Sapphire,6143.0,17.27,Chase Sapphire Preferred,Home Improvement,2025-10-04,False,Tenth Street Hardware,,True,Chase Freedom Unlimited,1.5,"Matched override: tenth street hardware, home depot, lowes, ace hardware",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,17.27,Chase Freedom Unlimited,1.5,25.9,8.629999999999999,False
Other,Chase Sapphire,6143.0,23.74,Chase Sapphire Preferred,Home Improvement,2025-10-04,False,Tenth Street Hardware,,True,Chase Freedom Unlimited,1.5,"Matched override: tenth street hardware, home depot, lowes, ace hardware",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,23.74,Chase Freedom Unlimited,1.5,35.61,11.870000000000001,False
Dining,Chase Sapphire,6143.0,14.31,Chase Sapphire Preferred,Restaurants & Bars,2025-10-04,False,Schmear It - 12th St,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,42.93,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,42.93,0.0,True
Dining,Chase Sapphire,6143.0,9.0,Chase Sapphire Preferred,Restaurants & Bars,2025-10-03,False,Halal King Gyro,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,27.0,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,27.0,0.0,True
Groceries,Chase Sapphire,6143.0,76.01,Chase Sapphire Preferred,Groceries,2025-10-03,False,Whole Foods,,False,,,,Standard of Living,,posted,,regular,1.0,Chase Sapphire Preferred,76.01,Chase Freedom Unlimited,1.5,114.02,38.00999999999999,False
Groceries,Freedom Unlimited,1093.0,3.66,Chase Freedom Unlimited,Groceries,2025-10-02,False,Moms Of Center City,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,5.49,Chase Freedom Unlimited,1.5,5.49,0.0,True
Dining,Chase Sapphire,6143.0,5.35,Chase Sapphire Preferred,Restaurants & Bars,2025-10-02,False,Schmear It - 12th St,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,16.05,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,16.05,0.0,True
Dining,Chase Sapphire,6143.0,12.29,Chase Sapphire Preferred,Restaurants & Bars,2025-10-02,False,Honeygrow,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,36.87,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,36.87,0.0,True
Streaming,Chase Sapphire,6143.0,69.31,Chase Sapphire Preferred,Subscriptions,2025-10-01,False,Costco,,False,,,,Standard of Living,Costco Membership,posted,,regular,3.0,Chase Sapphire Preferred,207.93,Chase Sapphire Preferred,3.0,207.93,0.0,True
Dining,Chase Sapphire,6143.0,7.2,Chase Sapphire Preferred,Restaurants & Bars,2025-09-30,False,Merck Wp 53 Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,21.6,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,21.6,0.0,True
Dining,Chase Sapphire,6143.0,-0.92,Chase Sapphire Preferred,Restaurants & Bars,2025-09-30,False,Starbucks,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,-2.76,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,-2.76,0.0,True
Gas,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,33.18,Citi AAdvantage Platinum Select,Car/Gas,2025-09-30,False,Marathon,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: marathon, wawa, sunoco, shell, exxon, bp, costco gas",Standard of Living,,posted,,regular,2.0,Citi AAdvantage Platinum Select,66.36,Citi AAdvantage Platinum Select,2.0,66.36,0.0,True
Subscriptions,Freedom Unlimited,1093.0,87.97,Chase Freedom Unlimited,Subscriptions,2025-09-29,False,Youtube Tv,,True,Chase Freedom Unlimited,1.5,"Matched override: openai, chatgpt, adobe, youtube.tv, youtube premium, youtube tv, photolounge",Standard of Living,Youtube Tv,posted,,regular,1.5,Chase Freedom Unlimited,131.95,Chase Freedom Unlimited,1.5,131.95,0.0,True
Groceries,Freedom Unlimited,1093.0,14.73,Chase Freedom Unlimited,Groceries,2025-09-28,False,Whole Foods,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,22.1,Chase Freedom Unlimited,1.5,22.1,0.0,True
Groceries,Freedom Unlimited,1093.0,32.82,Chase Freedom Unlimited,Groceries,2025-09-28,False,Acme,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,49.23,Chase Freedom Unlimited,1.5,49.23,0.0,True
Dining,Chase Sapphire,6143.0,4.86,Chase Sapphire Preferred,Restaurants & Bars,2025-09-27,False,Philly Bagels - Locu,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,14.58,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,14.58,0.0,True
Dining,Chase Sapphire,6143.0,5.83,Chase Sapphire Preferred,Restaurants & Bars,2025-09-27,False,Elixr Coffee,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,17.49,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,17.49,0.0,True
Groceries,Chase Sapphire,6143.0,7.07,Chase Sapphire Preferred,Groceries,2025-09-27,False,Iovine Brothers Pro,,False,,,,Standard of Living,,posted,,regular,1.0,Chase Sapphire Preferred,7.07,Chase Freedom Unlimited,1.5,10.6,3.5299999999999994,False
Other,Freedom Unlimited,1093.0,37.78,Chase Freedom Unlimited,Shops,2025-09-26,False,Amazon.com*439nf68v3,,True,Chase Freedom Unlimited,1.5,"Matched override: etsy, amazon, 1-800-flowers, offer:etsy, amazon mktpl",Guilt Free Spending,,posted,,regular,1.5,Chase Freedom Unlimited,56.67,Chase Freedom Unlimited,1.5,56.67,0.0,True
Subscriptions,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,12.71,Citi AAdvantage Platinum Select,Subscriptions,2025-09-26,False,Adobe,,True,Chase Freedom Unlimited,1.5,"Matched override: openai, chatgpt, adobe, youtube.tv, youtube premium, youtube tv, photolounge",Standard of Living,Adobe San Jose Usa,posted,,regular,1.0,Citi AAdvantage Platinum Select,12.71,Chase Freedom Unlimited,1.5,19.07,6.359999999999999,False
Dining,Chase Sapphire,6143.0,30.78,Chase Sapphire Preferred,Restaurants & Bars,2025-09-25,False,Starbucks,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,92.34,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,92.34,0.0,True
Subscriptions,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,8.0,Citi AAdvantage Platinum Select,Subscriptions,2025-09-25,False,Photolounge Photo Lab,,True,Chase Freedom Unlimited,1.5,"Matched override: openai, chatgpt, adobe, youtube.tv, youtube premium, youtube tv, photolounge",Standard of Living,Photolounge Photo Lab Philadelphia Usa,posted,,regular,1.0,Citi AAdvantage Platinum Select,8.0,Chase Freedom Unlimited,1.5,12.0,4.0,False
Other,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,49.63,Citi AAdvantage Platinum Select,Home Improvement,2025-09-25,False,Sp Brooklinen,,False,,,,Guilt Free Spending,,posted,,regular,1.0,Citi AAdvantage Platinum Select,49.63,Chase Freedom Unlimited,1.5,74.45,24.82,False
Groceries,Chase Sapphire,6143.0,8.36,Chase Sapphire Preferred,Groceries,2025-09-22,False,Whole Foods,,False,,,,Standard of Living,,posted,,regular,1.0,Chase Sapphire Preferred,8.36,Chase Freedom Unlimited,1.5,12.54,4.18,False
Gas,Chase Sapphire,6143.0,8.69,Chase Sapphire Preferred,Restaurants & Bars,2025-09-21,False,Wawa,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: marathon, wawa, sunoco, shell, exxon, bp, costco gas",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,8.69,Citi AAdvantage Platinum Select,2.0,17.38,8.69,False
Other,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,74.0,Citi AAdvantage Platinum Select,Recreation,2025-09-21,False,Glf*mainlandgolf,,False,,,,Guilt Free Spending,,posted,,regular,1.0,Citi AAdvantage Platinum Select,74.0,Chase Freedom Unlimited,1.5,111.0,37.0,False
Dining,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,6.5,Citi AAdvantage Platinum Select,Restaurants & Bars,2025-09-21,False,1-900-ice-cream,,False,,,,Guilt Free Spending,,posted,,regular,2.0,Citi AAdvantage Platinum Select,13.0,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,19.5,6.5,False
