CC_Category,account,account_mask,amount,card_mapped,category,date,excluded,name,note,override_applied,override_card,override_rate,override_reason,parent_category,recurring,status,tags,type,used_rate,effective_card,points_earned,best_cards,best_rate,optimal_points,missed_points,used_best_card
Travel,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,270.9,Citi AAdvantage Platinum Select,Travel & Vacation,2025-03-10,True,Americanaal50,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: american, aa.com, americanair",,,posted,Italy Vacation,regular,2.0,Citi AAdvantage Platinum Select,541.8,"Chase Sapphire Preferred, Citi AAdvantage Platinum Select",2.0,541.8,0.0,True
Travel,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,43.41,Citi AAdvantage Platinum Select,Travel & Vacation,2025-03-10,True,American,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: american, aa.com, americanair",,,posted,Italy Vacation,regular,2.0,Citi AAdvantage Platinum Select,86.82,"Chase Sapphire Preferred, Citi AAdvantage Platinum Select",2.0,86.82,0.0,True
Transit,Chase Sapphire,6143.0,13.92,Chase Sapphire Preferred,Ubers/Septa,2025-03-09,False,Uber,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: septa, lyft, uber",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,13.92,Citi AAdvantage Platinum Select,2.0,27.84,13.92,False
Dining,Chase Sapphire,6143.0,14.04,Chase Sapphire Preferred,Restaurants & Bars,2025-03-09,False,Talula S Garden,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,42.12,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,42.12,0.0,True
Groceries,Freedom Flex,2429.0,31.81,Chase Freedom Flex,Groceries,2025-03-09,False,Acme,,False,,,,Standard of Living,,posted,,regular,1.0,Chase Freedom Flex,31.81,Chase Freedom Unlimited,1.5,47.72,15.91,False
Other,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,22.66,Citi AAdvantage Platinum Select,Shops,2025-03-09,False,T.j. Maxx,,False,,,,Guilt Free Spending,,posted,,regular,1.0,Citi AAdvantage Platinum Select,22.66,Chase Freedom Unlimited,1.5,33.99,11.330000000000002,False
Transit,Chase Sapphire,6143.0,13.96,Chase Sapphire Preferred,Ubers/Septa,2025-03-08,False,Uber,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: septa, lyft, uber",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,13.96,Citi AAdvantage Platinum Select,2.0,27.92,13.96,False
Dining,Chase Sapphire,6143.0,4.27,Chase Sapphire Preferred,Restaurants & Bars,2025-03-08,False,Starbucks,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,12.81,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,12.81,0.0,True
Transit,Chase Sapphire,6143.0,13.15,Chase Sapphire Preferred,Ubers/Septa,2025-03-08,False,Lyft,,True,Citi AAdvantage Platinum Select,2.0,"Matched override: septa, lyft, uber",Guilt Free Spending,,posted,,regular,1.0,Chase Sapphire Preferred,13.15,Citi AAdvantage Platinum Select,2.0,26.3,13.15,False
Dining,Chase Sapphire,6143.0,11.14,Chase Sapphire Preferred,Restaurants & Bars,2025-03-07,False,Schmear It - 12th St,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,33.42,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,33.42,0.0,True
Groceries,Freedom Flex,2429.0,2.52,Chase Freedom Flex,Groceries,2025-03-06,False,Moms Of Center City,,False,,,,Standard of Living,,posted,,regular,1.0,Chase Freedom Flex,2.52,Chase Freedom Unlimited,1.5,3.78,1.2599999999999998,False
Streaming,Chase Sapphire,6143.0,19.07,Chase Sapphire Preferred,Subscriptions,2025-03-04,False,Netflix,,True,Chase Sapphire Preferred,3.0,"Matched override: openai, chatgpt, netflix, spotify, apple.com-bill",Standard of Living,Netflix,posted,,regular,3.0,Chase Sapphire Preferred,57.21,Chase Sapphire Preferred,3.0,57.21,0.0,True
Dining,Chase Sapphire,6143.0,7.02,Chase Sapphire Preferred,Restaurants & Bars,2025-03-04,False,Merck Wp 53 Cafe,,True,Chase Sapphire Preferred,3.0,"Matched override: cafe, coffee, merck wp, sky high",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,21.06,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,21.06,0.0,True
Groceries,Chase Sapphire,6143.0,7.21,Chase Sapphire Preferred,Groceries,2025-03-03,False,Acme,,False,,,,Standard of Living,,posted,,regular,1.0,Chase Sapphire Preferred,7.21,Chase Freedom Unlimited,1.5,10.82,3.6100000000000003,False
Dining,Chase Sapphire,6143.0,13.17,Chase Sapphire Preferred,Restaurants & Bars,2025-03-03,False,Honeygrow,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,39.51,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,39.51,0.0,True
Dining,Chase Sapphire,6143.0,5.35,Chase Sapphire Preferred,Restaurants & Bars,2025-03-03,False,Schmear It - 12th St,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,16.05,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,16.05,0.0,True
Other,Chase Sapphire,6143.0,125.28,Chase Sapphire Preferred,,2025-03-02,True,The Dandelion,,False,,,,,,posted,,regular,1.0,Chase Sapphire Preferred,125.28,Chase Freedom Unlimited,1.5,187.92,62.639999999999986,False
Dining,Chase Sapphire,6143.0,27.0,Chase Sapphire Preferred,Restaurants & Bars,2025-03-02,False,The Dandelion,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,81.0,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,81.0,0.0,True
Dining,Chase Sapphire,6143.0,22.12,Chase Sapphire Preferred,Restaurants & Bars,2025-03-01,False,Top Tomato,,False,,,,Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,66.36,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,66.36,0.0,True
Streaming,Chase Sapphire,6143.0,4.95,Chase Sapphire Preferred,Subscriptions,2025-03-01,False,Gsuite_sportsd,,False,,,,Standard of Living,,posted,,regular,3.0,Chase Sapphire Preferred,14.85,Chase Sapphire Preferred,3.0,14.85,0.0,True
