date,name,amount,status,category,parent category,excluded,tags,type,account,account mask,note,recurring,merchant,card_used,best_card,best_rate,points_earned,optimal_used,optimal_points,missed_points
2024-11-01,Tandoori Pizza,30.04,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Tandoori Pizza,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,90.12,True,90.12,0.0
2024-10-31,La Cucina At The Mark,10.0,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,La Cucina At The Mark,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,30.0,True,30.0,0.0
2024-10-31,Schmear It - 12th St,5.35,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Schmear It - 12th St,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,16.05,True,16.05,0.0
2024-10-30,Trader Joe's,45.97,posted,Groceries,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Trader Joe's,Chase Sapphire,Freedom Unlimited,1.5,45.97,False,68.96,22.99
2024-10-30,Merck Wp 53 Cafe,7.02,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Merck Wp 53 Cafe,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,21.06,True,21.06,0.0
2024-10-29,Spirit Halloween Superstores,14.03,posted,Shops,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Spirit Halloween Superstores,Chase Sapphire,Freedom Unlimited,1.5,14.03,False,21.04,7.01
2024-10-29,Youtube Tv,77.37,posted,Subscriptions,Standard of Living,False,,regular,Freedom Flex,2429.0,,Youtube Tv,Youtube Tv,Freedom Flex,Freedom Unlimited,1.5,77.37,False,116.06,38.69
2024-10-28,Acme,6.53,posted,Groceries,Standard of Living,False,,regular,Chase Sapphire,6143.0,,,Acme,Chase Sapphire,Freedom Unlimited,1.5,6.53,False,9.8,3.27
2024-10-28,Honeygrow,12.02,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Honeygrow,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,36.06,True,36.06,0.0
2024-10-28,Schmear It - 12th St,10.69,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Schmear It - 12th St,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,32.07,True,32.07,0.0
