card_mapped,Transactions,Total_Spend,Points_Earned,Missed_Points,Optimization_Rate
AAdvantage Platinum Select,323,15891.75,20296.13,5396.3,79.0
Freedom Flex,655,23277.59,35381.76,6092.21,85.3
Freedom Unlimited,110,7424.86,7651.62,2288.71,77.0
Sapphire Preferred,2139,72700.72,124730.47,6733.66,94.9
